time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2023-12-17,240.61,236.81,244.21,31313.63,7478767.33,238.83,multiply,BTC
2023-12-18,247.58,240.55,238.83,44997.6,10873959.37,241.66,multiply,BTC
2023-12-19,254.96,238.86,241.66,116312.61,29404454.32,252.81,multiply,BTC
2023-12-20,262.98,254.6,252.81,69572.3,18116882.48,260.4,multiply,BTC
2023-12-21,276.5,258.42,260.4,69548.01,18927955.99,272.16,multiply,BTC
2023-12-22,275.71,266.6,272.16,55027.41,14929462.76,271.31,multiply,BTC
2023-12-23,271.76,266.99,271.31,29722.67,8059095.4,271.14,multiply,BTC
2023-12-24,267.82,262.87,271.14,51910.01,13741683.12,264.72,multiply,BTC
2023-12-25,268.93,265.05,264.72,39363.46,10507082.75,266.92,multiply,BTC
2023-12-26,302.34,258.97,266.92,194632.99,57960012.92,297.79,multiply,BTC
2023-12-27,324.8,293.24,297.79,148255.25,48095735.38,324.41,multiply,BTC
2023-12-28,336.15,313.28,324.41,142371.77,45954984.34,322.78,multiply,BTC
2023-12-29,322.24,307.56,322.78,85383.77,26792132.11,313.78,multiply,BTC
2023-12-30,321.45,313.48,313.78,51812.27,16430019.5,317.11,multiply,BTC
2023-12-31,325.81,308.48,317.11,63140.9,19691014.53,311.86,multiply,BTC
2024-01-01,328.83,312.87,311.86,47013.45,14746729.46,313.67,multiply,BTC
2024-01-02,320.28,306.56,313.67,62361.67,19482343.97,312.41,multiply,BTC
2024-01-03,320.59,295.09,312.41,145338.89,45921730.86,315.96,multiply,BTC
2024-01-04,333.45,317.49,315.96,77721.53,25180920.77,323.99,multiply,BTC
2024-01-05,331.34,315.17,323.99,56621.23,17990522.56,317.73,multiply,BTC
2024-01-06,316.5,303.34,317.73,42943.71,13208042.43,307.57,multiply,BTC
2024-01-07,308.71,299.48,307.57,28926.53,8751940.99,302.56,multiply,BTC
2024-01-08,323.56,303.92,302.56,63210.0,19213708.41,303.97,multiply,BTC
2024-01-09,305.7,290.39,303.97,65101.29,19604411.53,301.14,multiply,BTC
2024-01-10,309.31,297.18,301.14,67415.97,20616612.38,305.81,multiply,BTC
2024-01-11,317.24,298.65,305.81,75009.94,23128651.45,308.34,multiply,BTC
2024-01-12,299.43,283.52,308.34,67720.68,20083848.92,296.57,multiply,BTC
2024-01-13,303.09,292.68,296.57,35746.9,10796146.1,302.02,multiply,BTC
2024-01-14,300.73,293.22,302.02,26850.93,8034576.89,299.23,multiply,BTC
2024-01-15,320.64,303.81,299.23,119623.28,37959424.99,317.32,multiply,BTC
2024-01-16,322.66,313.91,317.32,45264.35,14265392.15,315.16,multiply,BTC
2024-01-17,319.09,307.72,315.16,57677.36,17827518.31,309.09,multiply,BTC
2024-01-18,315.06,296.77,309.09,64351.38,20123018.51,312.71,multiply,BTC
2024-01-19,318.98,309.65,312.71,43805.46,13775959.72,314.48,multiply,BTC
2024-01-20,317.37,312.7,314.48,20710.63,6567773.66,317.12,multiply,BTC
2024-01-21,320.51,315.43,317.12,21252.4,6770882.51,318.59,multiply,BTC
2024-01-22,306.7,301.01,318.59,34304.87,10483455.31,305.6,multiply,BTC
2024-01-23,310.24,298.04,305.6,42847.46,12794028.01,298.59,multiply,BTC
2024-01-24,302.31,291.73,298.59,42784.33,12536441.51,293.01,multiply,BTC
2024-01-25,295.29,287.66,293.01,46847.3,13678199.16,291.97,multiply,BTC
2024-01-26,312.41,299.32,291.97,40165.38,12131589.16,302.04,multiply,BTC
2024-01-27,310.16,304.18,302.04,20266.71,6195411.91,305.69,multiply,BTC
2024-01-28,306.35,302.61,305.69,26183.24,7989290.95,305.13,multiply,BTC
2024-01-29,317.02,310.0,305.13,25542.3,7935835.75,310.69,multiply,BTC
2024-01-30,309.19,304.43,310.69,20350.68,6260850.82,307.65,multiply,BTC
2024-01-31,305.63,297.29,307.65,24622.31,7391212.04,300.18,multiply,BTC
2024-02-01,306.77,299.53,300.18,25643.84,7696589.75,300.13,multiply,BTC
2024-02-02,305.77,300.07,300.13,19890.86,5991835.32,301.24,multiply,BTC
2024-02-03,304.22,299.32,301.24,16744.38,5016242.11,299.58,multiply,BTC
2024-02-04,306.38,295.86,299.58,37807.14,11515671.2,304.59,multiply,BTC
2024-02-05,307.53,296.77,304.59,38012.34,11440034.43,300.96,multiply,BTC
2024-02-06,305.26,301.51,300.96,30834.92,9335609.65,302.76,multiply,BTC
2024-02-07,315.34,307.31,302.76,48845.54,15013078.49,307.36,multiply,BTC
2024-02-08,321.75,313.05,307.36,80215.32,25606036.21,319.22,multiply,BTC
2024-02-09,333.71,318.01,319.22,41184.34,13351358.91,324.19,multiply,BTC
2024-02-10,329.17,320.52,324.19,15879.95,5133902.66,323.29,multiply,BTC
2024-02-11,327.55,320.79,323.29,15992.26,5131639.96,320.88,multiply,BTC
2024-02-12,334.57,321.58,320.88,39170.41,12848890.46,328.03,multiply,BTC
2024-02-13,329.43,322.72,328.03,30670.84,9966677.8,324.96,multiply,BTC
2024-02-14,342.48,330.92,324.96,27754.94,9276797.07,334.24,multiply,BTC
2024-02-15,362.45,331.34,334.24,77553.75,27501276.65,354.61,multiply,BTC
2024-02-16,367.28,353.93,354.61,58461.21,21081390.29,360.6,multiply,BTC
2024-02-17,361.58,351.3,360.6,39737.07,14025176.45,352.95,multiply,BTC
2024-02-18,360.07,349.54,352.95,28530.43,9977048.18,349.7,multiply,BTC
2024-02-19,354.03,346.83,349.7,47234.5,16612281.37,351.7,multiply,BTC
2024-02-20,363.9,353.19,351.7,49885.29,17689169.12,354.6,multiply,BTC
2024-02-21,381.7,350.69,354.6,109621.73,41581127.42,379.31,multiply,BTC
2024-02-22,385.25,372.12,379.31,79853.31,30533966.47,382.38,multiply,BTC
2024-02-23,380.83,368.4,382.38,57690.72,21666145.77,375.56,multiply,BTC
2024-02-24,389.13,378.76,375.56,33440.95,12762809.26,381.65,multiply,BTC
2024-02-25,390.75,379.37,381.65,43077.25,16736641.5,388.53,multiply,BTC
2024-02-26,427.75,396.13,388.53,83524.04,33564674.47,401.86,multiply,BTC
2024-02-27,422.1,392.2,401.86,76739.61,30302814.44,394.88,multiply,BTC
2024-02-28,441.8,414.23,394.88,107203.78,44508024.71,415.17,multiply,BTC
2024-02-29,416.63,393.08,415.17,78923.95,31535156.29,399.56,multiply,BTC
2024-03-01,418.16,403.62,399.56,33140.43,13512629.01,407.74,multiply,BTC
2024-03-02,413.67,404.68,407.74,34313.72,14109473.93,411.19,multiply,BTC
2024-03-03,422.79,413.12,411.19,34868.1,14462083.4,414.77,multiply,BTC
2024-03-04,451.24,418.57,414.77,76612.52,32115142.33,419.19,multiply,BTC
2024-03-05,407.33,384.1,419.19,95147.53,37535777.86,394.5,multiply,BTC
2024-03-06,431.6,402.64,394.5,88501.75,38010328.33,429.49,multiply,BTC
2024-03-07,476.33,431.22,429.49,90248.41,42885129.76,475.19,multiply,BTC
2024-03-08,495.91,471.74,475.19,98171.88,47813026.54,487.03,multiply,BTC
2024-03-09,495.28,481.31,487.03,47997.32,23476324.5,489.12,multiply,BTC
2024-03-10,532.45,485.37,489.12,110595.18,58534979.45,529.27,multiply,BTC
2024-03-11,555.14,509.72,529.27,107024.26,55971908.0,522.98,multiply,BTC
2024-03-12,547.37,516.37,522.98,116748.27,62737215.1,537.37,multiply,BTC
2024-03-13,633.71,541.81,537.37,190292.6,120048537.78,630.86,multiply,BTC
2024-03-14,616.97,584.57,630.86,136023.24,82019217.77,602.98,multiply,BTC
